Date,air_con,bedroom,cooktops,freezer,home,living,laptops,phones,refrigerator,tv
1/7/2019,145864,23390,71402,70051,3913,5098,21139,112755,369315,561382
8/7/2019,245149,43400,82639,100123,17828,4550,21151,291266,128128,466197
15/7/2019,230437,29495,89238,160912,3538,5416,23690,237554,779059,741575
22/7/2019,336300,43245,152420,89774,4903,5921,24882,311059,490320,741244
29/7/2019,105325,13259,48581,52152,9336,11315,22128,162368,223504,341575
5/8/2019,67693,12530,117377,55392,2551,10796,22626,505189,295376,301327
12/8/2019,134216,18958,63912,69624,6563,15724,19277,251686,293081,522823
19/8/2019,355562,36309,95905,147539,8755,14337,16128,361413,268432,693857
26/8/2019,210734,32058,51982,105615,11343,22080,17275,423316,167869,559033
2/9/2019,103912,22381,28511,64926,14477,14613,17577,440497,219443,515955
9/9/2019,62735,13076,10423,39679,6871,13125,17150,264394,231721,595949
16/9/2019,201033,9817,6192,24691,8658,18328,16980,254964,223377,380169
23/9/2019,222997,3784,15588,23147,9042,14761,15873,439827,215949,453993
30/9/2019,193416,12316,41234,97821,11538,21126,16234,217115,477469,809852
7/10/2019,146337,40322,58785,108504,10063,17784,16328,449828,256453,581094
14/10/2019,29717,25480,43911,77975,12837,19787,16242,408608,415580,1031084
21/10/2019,431619,39845,51829,136730,11885,18775,15956,486177,243806,394642
28/10/2019,385135,31839,57733,134677,14127,22154,16132,336326,248360,450341
4/11/2019,466715,10952,15928,61880,6006,13429,16839,231149,282268,382371
11/11/2019,189810,16191,30152,74355,14309,24427,16830,126173,155856,346405
18/11/2019,63806,42221,88269,132206,16234,15697,15762,190349,295387,255410
25/11/2019,203115,35668,71784,135606,14705,15041,15221,222827,226370,275981
2/12/2019,128995,32228,54852,162042,14790,22116,16521,251527,250893,590054
9/12/2019,219825,26850,36949,122185,14014,29339,17081,249954,332353,501596
16/12/2019,231854,32596,32596,152723,11031,17099,19306,164419,287191,413627
23/12/2019,272674,34967,40277,191455,10488,15610,10613,146283,645175,214931
